patient_id,nhs_number,first_name,last_name,dob,age,sex,address,city,county,postcode,phone,gp_practice,registered_date
p037,808 313 6783,Isla,Taylor,1944-08-10,81,F,180 Victoria Rd,Liverpool,Merseyside,L1 1AB,07841536135,Hackney Health Centre,2020-07-03
p038,495 788 5685,Eleanor,Okafor,1986-11-06,39,F,178 Park Rd,Liverpool,Merseyside,L1 1AB,07477753674,Hackney Health Centre,2018-01-14
p039,823 374 9894,Isla,Smith,1955-03-03,71,F,81 High St,Manchester,Greater Manchester,M1 1AE,07207939087,Greenwich Health Centre,2018-04-28
p040,400 842 7109,David,Bello,2000-05-31,25,M,137 Church Lane,Liverpool,Merseyside,L1 1AB,07405307028,Hackney Health Centre,2020-05-14
p041,671 902 2941,Ava,Bello,1984-09-30,41,F,30 High St,London,Greater London,SW1A 1AA,07366493008,Croydon Health Centre,2019-09-01
p042,649 909 1334,Hassan,Evans,1942-10-29,83,M,77 New Rd,Glasgow,Lanarkshire,G1 1AB,07809129316,Croydon Health Centre,2016-10-05
p043,974 034 4713,William,Singh,1991-05-30,35,M,105 Mill Lane,Manchester,Greater Manchester,M1 1AE,07384063364,Greenwich Health Centre,2019-10-08
p044,024 994 7174,Liam,Smith,1992-01-15,34,M,37 High St,Sheffield,South Yorkshire,S1 1AB,07851333320,Hackney Health Centre,2018-01-20
p045,940 139 9049,Chloe,Okafor,1998-10-20,27,F,189 Queen St,Cardiff,South Glamorgan,CF10 1AB,07143198431,Greenwich Health Centre,2020-04-11
p046,756 551 2567,Isla,Bello,1973-07-14,52,F,126 High St,Cardiff,South Glamorgan,CF10 1AB,07409471503,Hackney Health Centre,2015-05-31
p047,808 760 3859,Aisha,Taylor,1981-04-04,45,F,198 King St,Liverpool,Merseyside,L1 1AB,07912224654,Hackney Health Centre,2019-12-16
p048,710 932 4808,Harry,Brown,1993-01-03,33,M,113 School Lane,Edinburgh,Lothian,EH1 1AB,07538076670,Croydon Health Centre,2017-07-09
p049,484 677 3782,Robert,Ramanathan,1948-03-24,78,M,128 School Lane,Sheffield,South Yorkshire,S1 1AB,07511872350,Greenwich Health Centre,2020-09-12
p050,449 972 7875,George,Brown,1979-09-17,46,M,69 Oxford St,Croydon,Greater London,CR0 1AB,07456954682,Hackney Health Centre,2020-02-09
